Round,Table,East Seat,South Seat,West Seat,North Seat
4,1,Mandarin Duck,Bajar,Plein,adonis_minus_20
4,2,Caldoran,Asahinacchi,bakasenpai,WishMeLuck!
4,3,Aestival,Ding,Danchi,Autissima
4,4,Eden,Dojima,Alp314,gostosinha
4,5,Bouche,AgentSeto,Caek,budgetloaf
4,6,ysrafil,AlexPlayer7,Perry,Eruni
4,7,Morning Rescue,DaikaNyan,DemoKracker,Centrivy
4,8,AndyJango,Hannya般若,bladeclara42,LangKhach
4,9,Derinov,ValentineLuv,adofai,cinabari
4,10,bobland,AnimatedElf,Jabberwock,hwnglk25
4,11,chev,ACheerfulPanic,Linabell,FalconHit
4,12,Eile,cunny,artbuddy,Serenity312
4,13,Bobolai,snowHaku,Cerradin,Cous1000
4,14,LiterallyMe,CMC,Bbell3000,darkboss
